Fecha;Equipo;Player_nickname;Goles
9/4/2026;Celeste;Chino;0
9/4/2026;Celeste;Cofla;1
9/4/2026;Celeste;Colo;3
9/4/2026;Celeste;Bradley;2
9/4/2026;Celeste;Mudito;2
9/4/2026;Naranja;Maranga;1
9/4/2026;Naranja;Chulo;2
9/4/2026;Naranja;Lio;0
9/4/2026;Naranja;Lucas;4
9/4/2026;Naranja;Gabo;2
9/4/2026;Naranja;En contra;2
16/4/2026;Celeste;Chino;0
16/4/2026;Celeste;Cofla;0
16/4/2026;Celeste;Colo;3
16/4/2026;Celeste;Facu;2
16/4/2026;Celeste;Maxi;1
16/4/2026;Naranja;Maranga;2
16/4/2026;Naranja;Chulo;3
16/4/2026;Naranja;Bigote;2
16/4/2026;Naranja;Morru;1
16/4/2026;Naranja;Gabo;1
23/4/2026;Celeste;Morru;0
23/4/2026;Celeste;Lio;0
23/4/2026;Celeste;Bigote;2
23/4/2026;Celeste;Lucas;7
23/4/2026;Celeste;Canelo;1
23/4/2026;Naranja;Maranga;2
23/4/2026;Naranja;Colo;0
23/4/2026;Naranja;Cofla;4
23/4/2026;Naranja;Charly;0
23/4/2026;Naranja;Facu;6
14/5/2026;Celeste;Mudito;2
14/5/2026;Celeste;Morru;0
14/5/2026;Celeste;Pata;0
14/5/2026;Celeste;Charly;3
14/5/2026;Celeste;Chulo;0
14/5/2026;Naranja;Bigote;1
14/5/2026;Naranja;Maxi;0
14/5/2026;Naranja;Mati (primo Bigo);0
14/5/2026;Naranja;Lio;0
14/5/2026;Naranja;Cofla;2
21/5/2026;Celeste;Bigote;1
21/5/2026;Celeste;Maxi;1
21/5/2026;Celeste;Nico (amigo Bigo);0
21/5/2026;Celeste;Kevin (amigo Bigo);0
21/5/2026;Celeste;Hakimi;10
21/5/2026;Naranja;Lio;5
21/5/2026;Naranja;Colo;1
21/5/2026;Naranja;Chulo;0
21/5/2026;Naranja;Cofla;3
21/5/2026;Naranja;Morru;0
28/5/2026;Celeste;Maxi;2
28/5/2026;Celeste;Morru;0
28/5/2026;Celeste;Diego (amigo Maxi);0
28/5/2026;Celeste;Pata;2
28/5/2026;Celeste;Chulo;1
28/5/2026;Naranja;Facu;2
28/5/2026;Naranja;Lio;0
28/5/2026;Naranja;Charly;1
28/5/2026;Naranja;Mati (primo Bigo);1
28/5/2026;Naranja;Uruguayo (amigo de Facu);2
4/6/2026;Celeste;Morru;0
4/6/2026;Celeste;Pata;0
4/6/2026;Celeste;Juan Bebote;2
4/6/2026;Celeste;Chulo;1
4/6/2026;Celeste;Marc;6
4/6/2026;Naranja;Maranga;2
4/6/2026;Naranja;Colo;1
4/6/2026;Naranja;Maxi;1
4/6/2026;Naranja;Facu;1
4/6/2026;Naranja;Lio;1
11/6/2026;Celeste;Morru;0
11/6/2026;Celeste;Diego;1
11/6/2026;Celeste;Chulo;2
11/6/2026;Celeste;Juan Bebote;2
11/6/2026;Celeste;Colo;2
11/6/2026;Naranja;Maranga;2
11/6/2026;Naranja;Mudito;2
11/6/2026;Naranja;Pata;0
11/6/2026;Naranja;Maxi;1
11/6/2026;Naranja;Gabo;2
18/6/2026;Celeste;Colo;0
18/6/2026;Celeste;Maranga;2
18/6/2026;Celeste;Juan Bebote;2
18/6/2026;Celeste;Lio;0
18/6/2026;Celeste;Facu;1
18/6/2026;Naranja;Morru;0
18/6/2026;Naranja;Chulo;0
18/6/2026;Naranja;Pata;1
18/6/2026;Naranja;Cofla;1
18/6/2026;Naranja;Mudito;5
25/6/2026;Naranja;Negro (amigo maxi);3
25/6/2026;Naranja;Maxi;0
25/6/2026;Naranja;Lio;1
25/6/2026;Naranja;Tomi;3
25/6/2026;Naranja;Facu;1
25/6/2026;Celeste;Pata;1
25/6/2026;Celeste;Chulo;1
25/6/2026;Celeste;Cofla;0
25/6/2026;Celeste;Chino;2
25/6/2026;Celeste;Colo;1
2/7/2026;Celeste;Cofla;1
2/7/2026;Celeste;Colo;0
2/7/2026;Celeste;Chino;0
2/7/2026;Celeste;Gabo;1
2/7/2026;Celeste;Mudito;2
2/7/2026;Naranja;Maranga;0
2/7/2026;Naranja;Lio;1
2/7/2026;Naranja;Morru;0
2/7/2026;Naranja;Juan Bebote;2
2/7/2026;Naranja;Facu;0
16/7/2026;Celeste;Chulo;3
16/7/2026;Celeste;Maxi;0
16/7/2026;Celeste;Maranga;1
16/7/2026;Celeste;Lio;1
16/7/2026;Celeste;Facu;1
16/7/2026;Celeste;En contra;1
16/7/2026;Naranja;Pata;0
16/7/2026;Naranja;Chino;0
16/7/2026;Naranja;Morru;0
16/7/2026;Naranja;Colo;3
16/7/2026;Naranja;Tomi;2
23/7/2026;Celeste;Lio;4
23/7/2026;Celeste;Pola;8
23/7/2026;Celeste;Morru;1
23/7/2026;Celeste;Gabo;2
23/7/2026;Celeste;Mario (amigo Lio);0
23/7/2026;Naranja;Manu (amigo Bigote);2
23/7/2026;Naranja;Bigote;1
23/7/2026;Naranja;Colo;2
23/7/2026;Naranja;Pata;0
23/7/2026;Naranja;Lalo;1
6/8/2026;Celeste;Colo;2
6/8/2026;Celeste;Lio;1
6/8/2026;Celeste;Chulo;1
6/8/2026;Celeste;Lalo;2
6/8/2026;Celeste;Morru;1
6/8/2026;Naranja;Maxi;1
6/8/2026;Naranja;Cofla;0
6/8/2026;Naranja;Maranga;0
6/8/2026;Naranja;Tomi;1
6/8/2026;Naranja;Juan Bebote;1
13/8/2026;Celeste;Pata;3
13/8/2026;Celeste;Cofla;0
13/8/2026;Celeste;Bigote;2
13/8/2026;Celeste;Colo;2
13/8/2026;Celeste;Facu;1
13/8/2026;Naranja;Lio;0
13/8/2026;Naranja;Maranga;0
13/8/2026;Naranja;Chulo;1
13/8/2026;Naranja;Maxi Pintureria;4
13/8/2026;Naranja;Juan Bebote;2
20/8/2026;Celeste;Cofla;1
20/8/2026;Celeste;Chulo;2
20/8/2026;Celeste;Colo;4
20/8/2026;Celeste;Charly;0
20/8/2026;Celeste;Morru;1
20/8/2026;Naranja;Lio;1
20/8/2026;Naranja;Maranga;0
20/8/2026;Naranja;Maxi;3
20/8/2026;Naranja;Mudito;3
20/8/2026;Naranja;Facu;1
